id,user,thinking,ai
396,Αγχώνομαι σήμερα,,"Είναι φυσιολογικό. Ανάπνευσε ήρεμα, θα πάει καλά."
397,Έχω στρες σήμερα,,"Κάνε σύντομο διάλειμμα, πιες νερό, ανάπνευσε βαθιά."
398,Ευχήσου μου τύχη σήμερα,,Καλή τύχη! Τα καταφέρνεις!
399,Σταυρώνω δάχτυλα σήμερα,,Κι εγώ! Καλή τύχη!
400,Σήμερα είναι η μέρα μου! σήμερα,,Ωραία! Απόλαυσέ την!
401,Ποια είναι η πρωτεύουσα Γερμανία?,Στοιχείο: Βερολίνο είναι η πρωτεύουσα Γερμανία.,Η πρωτεύουσα Γερμανία είναι Βερολίνο.
402,Πες την πρωτεύουσα Γερμανία.,Ψάξε: Γερμανία -> Βερολίνο.,Η πρωτεύουσα Γερμανία λέγεται Βερολίνο.
403,Πρωτεύουσα Γερμανία?,Γρήγορο στοιχείο: Βερολίνο.,Βερολίνο.
404,Ποια είναι η πρωτεύουσα Γαλλία?,Στοιχείο: Παρίσι είναι η πρωτεύουσα Γαλλία.,Η πρωτεύουσα Γαλλία είναι Παρίσι.
405,Πες την πρωτεύουσα Γαλλία.,Ψάξε: Γαλλία -> Παρίσι.,Η πρωτεύουσα Γαλλία λέγεται Παρίσι.
406,Πρωτεύουσα Γαλλία?,Γρήγορο στοιχείο: Παρίσι.,Παρίσι.
407,Ποια είναι η πρωτεύουσα Ιταλία?,Στοιχείο: Ρώμη είναι η πρωτεύουσα Ιταλία.,Η πρωτεύουσα Ιταλία είναι Ρώμη.
408,Πες την πρωτεύουσα Ιταλία.,Ψάξε: Ιταλία -> Ρώμη.,Η πρωτεύουσα Ιταλία λέγεται Ρώμη.
409,Πρωτεύουσα Ιταλία?,Γρήγορο στοιχείο: Ρώμη.,Ρώμη.
410,Ποια είναι η πρωτεύουσα Ισπανία?,Στοιχείο: Μαδρίτη είναι η πρωτεύουσα Ισπανία.,Η πρωτεύουσα Ισπανία είναι Μαδρίτη.
411,Πες την πρωτεύουσα Ισπανία.,Ψάξε: Ισπανία -> Μαδρίτη.,Η πρωτεύουσα Ισπανία λέγεται Μαδρίτη.
412,Πρωτεύουσα Ισπανία?,Γρήγορο στοιχείο: Μαδρίτη.,Μαδρίτη.
413,Ποια είναι η πρωτεύουσα Πορτογαλία?,Στοιχείο: Λισαβόνα είναι η πρωτεύουσα Πορτογαλία.,Η πρωτεύουσα Πορτογαλία είναι Λισαβόνα.
414,Πες την πρωτεύουσα Πορτογαλία.,Ψάξε: Πορτογαλία -> Λισαβόνα.,Η πρωτεύουσα Πορτογαλία λέγεται Λισαβόνα.
415,Πρωτεύουσα Πορτογαλία?,Γρήγορο στοιχείο: Λισαβόνα.,Λισαβόνα.
416,Ποια είναι η πρωτεύουσα Ολλανδία?,Στοιχείο: Άμστερνταμ είναι η πρωτεύουσα Ολλανδία.,Η πρωτεύουσα Ολλανδία είναι Άμστερνταμ.
417,Πες την πρωτεύουσα Ολλανδία.,Ψάξε: Ολλανδία -> Άμστερνταμ.,Η πρωτεύουσα Ολλανδία λέγεται Άμστερνταμ.
418,Πρωτεύουσα Ολλανδία?,Γρήγορο στοιχείο: Άμστερνταμ.,Άμστερνταμ.
419,Ποια είναι η πρωτεύουσα Βέλγιο?,Στοιχείο: Βρυξέλλες είναι η πρωτεύουσα Βέλγιο.,Η πρωτεύουσα Βέλγιο είναι Βρυξέλλες.
420,Πες την πρωτεύουσα Βέλγιο.,Ψάξε: Βέλγιο -> Βρυξέλλες.,Η πρωτεύουσα Βέλγιο λέγεται Βρυξέλλες.
421,Πρωτεύουσα Βέλγιο?,Γρήγορο στοιχείο: Βρυξέλλες.,Βρυξέλλες.
422,Ποια είναι η πρωτεύουσα Αυστρία?,Στοιχείο: Βιέννη είναι η πρωτεύουσα Αυστρία.,Η πρωτεύουσα Αυστρία είναι Βιέννη.
423,Πες την πρωτεύουσα Αυστρία.,Ψάξε: Αυστρία -> Βιέννη.,Η πρωτεύουσα Αυστρία λέγεται Βιέννη.
424,Πρωτεύουσα Αυστρία?,Γρήγορο στοιχείο: Βιέννη.,Βιέννη.
425,Ποια είναι η πρωτεύουσα Ελβετία?,Στοιχείο: Βέρνη είναι η πρωτεύουσα Ελβετία.,Η πρωτεύουσα Ελβετία είναι Βέρνη.
426,Πες την πρωτεύουσα Ελβετία.,Ψάξε: Ελβετία -> Βέρνη.,Η πρωτεύουσα Ελβετία λέγεται Βέρνη.
427,Πρωτεύουσα Ελβετία?,Γρήγορο στοιχείο: Βέρνη.,Βέρνη.
428,Ποια είναι η πρωτεύουσα Πολωνία?,Στοιχείο: Βαρσοβία είναι η πρωτεύουσα Πολωνία.,Η πρωτεύουσα Πολωνία είναι Βαρσοβία.
429,Πες την πρωτεύουσα Πολωνία.,Ψάξε: Πολωνία -> Βαρσοβία.,Η πρωτεύουσα Πολωνία λέγεται Βαρσοβία.
430,Πρωτεύουσα Πολωνία?,Γρήγορο στοιχείο: Βαρσοβία.,Βαρσοβία.
431,Ποια είναι η πρωτεύουσα Τσεχία?,Στοιχείο: Πράγα είναι η πρωτεύουσα Τσεχία.,Η πρωτεύουσα Τσεχία είναι Πράγα.
432,Πες την πρωτεύουσα Τσεχία.,Ψάξε: Τσεχία -> Πράγα.,Η πρωτεύουσα Τσεχία λέγεται Πράγα.
433,Πρωτεύουσα Τσεχία?,Γρήγορο στοιχείο: Πράγα.,Πράγα.
434,Ποια είναι η πρωτεύουσα Ουγγαρία?,Στοιχείο: Βουδαπέστη είναι η πρωτεύουσα Ουγγαρία.,Η πρωτεύουσα Ουγγαρία είναι Βουδαπέστη.
435,Πες την πρωτεύουσα Ουγγαρία.,Ψάξε: Ουγγαρία -> Βουδαπέστη.,Η πρωτεύουσα Ουγγαρία λέγεται Βουδαπέστη.
436,Πρωτεύουσα Ουγγαρία?,Γρήγορο στοιχείο: Βουδαπέστη.,Βουδαπέστη.
437,Ποια είναι η πρωτεύουσα Ελλάδα?,Στοιχείο: Αθήνα είναι η πρωτεύουσα Ελλάδα.,Η πρωτεύουσα Ελλάδα είναι Αθήνα.
438,Πες την πρωτεύουσα Ελλάδα.,Ψάξε: Ελλάδα -> Αθήνα.,Η πρωτεύουσα Ελλάδα λέγεται Αθήνα.
439,Πρωτεύουσα Ελλάδα?,Γρήγορο στοιχείο: Αθήνα.,Αθήνα.
440,Ποια είναι η πρωτεύουσα Τουρκία?,Στοιχείο: Άγκυρα είναι η πρωτεύουσα Τουρκία.,Η πρωτεύουσα Τουρκία είναι Άγκυρα.
441,Πες την πρωτεύουσα Τουρκία.,Ψάξε: Τουρκία -> Άγκυρα.,Η πρωτεύουσα Τουρκία λέγεται Άγκυρα.
442,Πρωτεύουσα Τουρκία?,Γρήγορο στοιχείο: Άγκυρα.,Άγκυρα.
443,Ποια είναι η πρωτεύουσα Νορβηγία?,Στοιχείο: Όσλο είναι η πρωτεύουσα Νορβηγία.,Η πρωτεύουσα Νορβηγία είναι Όσλο.
444,Πες την πρωτεύουσα Νορβηγία.,Ψάξε: Νορβηγία -> Όσλο.,Η πρωτεύουσα Νορβηγία λέγεται Όσλο.
445,Πρωτεύουσα Νορβηγία?,Γρήγορο στοιχείο: Όσλο.,Όσλο.
446,Ποια είναι η πρωτεύουσα Σουηδία?,Στοιχείο: Στοκχόλμη είναι η πρωτεύουσα Σουηδία.,Η πρωτεύουσα Σουηδία είναι Στοκχόλμη.
447,Πες την πρωτεύουσα Σουηδία.,Ψάξε: Σουηδία -> Στοκχόλμη.,Η πρωτεύουσα Σουηδία λέγεται Στοκχόλμη.
448,Πρωτεύουσα Σουηδία?,Γρήγορο στοιχείο: Στοκχόλμη.,Στοκχόλμη.
449,Ποια είναι η πρωτεύουσα Φινλανδία?,Στοιχείο: Ελσίνκι είναι η πρωτεύουσα Φινλανδία.,Η πρωτεύουσα Φινλανδία είναι Ελσίνκι.
450,Πες την πρωτεύουσα Φινλανδία.,Ψάξε: Φινλανδία -> Ελσίνκι.,Η πρωτεύουσα Φινλανδία λέγεται Ελσίνκι.
451,Πρωτεύουσα Φινλανδία?,Γρήγορο στοιχείο: Ελσίνκι.,Ελσίνκι.
452,Ποια είναι η πρωτεύουσα Δανία?,Στοιχείο: Κοπεγχάγη είναι η πρωτεύουσα Δανία.,Η πρωτεύουσα Δανία είναι Κοπεγχάγη.
453,Πες την πρωτεύουσα Δανία.,Ψάξε: Δανία -> Κοπεγχάγη.,Η πρωτεύουσα Δανία λέγεται Κοπεγχάγη.
454,Πρωτεύουσα Δανία?,Γρήγορο στοιχείο: Κοπεγχάγη.,Κοπεγχάγη.
455,Ποια είναι η πρωτεύουσα Ηνωμένο Βασίλειο?,Στοιχείο: Λονδίνο είναι η πρωτεύουσα Ηνωμένο Βασίλειο.,Η πρωτεύουσα Ηνωμένο Βασίλειο είναι Λονδίνο.
456,Πες την πρωτεύουσα Ηνωμένο Βασίλειο.,Ψάξε: Ηνωμένο Βασίλειο -> Λονδίνο.,Η πρωτεύουσα Ηνωμένο Βασίλειο λέγεται Λονδίνο.
457,Πρωτεύουσα Ηνωμένο Βασίλειο?,Γρήγορο στοιχείο: Λονδίνο.,Λονδίνο.
458,Ποια είναι η πρωτεύουσα Ιρλανδία?,Στοιχείο: Δουβλίνο είναι η πρωτεύουσα Ιρλανδία.,Η πρωτεύουσα Ιρλανδία είναι Δουβλίνο.
459,Πες την πρωτεύουσα Ιρλανδία.,Ψάξε: Ιρλανδία -> Δουβλίνο.,Η πρωτεύουσα Ιρλανδία λέγεται Δουβλίνο.
460,Πρωτεύουσα Ιρλανδία?,Γρήγορο στοιχείο: Δουβλίνο.,Δουβλίνο.
461,Ποια είναι η πρωτεύουσα ΗΠΑ?,Στοιχείο: Ουάσινγκτον είναι η πρωτεύουσα ΗΠΑ.,Η πρωτεύουσα ΗΠΑ είναι Ουάσινγκτον.
462,Πες την πρωτεύουσα ΗΠΑ.,Ψάξε: ΗΠΑ -> Ουάσινγκτον.,Η πρωτεύουσα ΗΠΑ λέγεται Ουάσινγκτον.
463,Πρωτεύουσα ΗΠΑ?,Γρήγορο στοιχείο: Ουάσινγκτον.,Ουάσινγκτον.
464,Ποια είναι η πρωτεύουσα Καναδάς?,Στοιχείο: Οτάβα είναι η πρωτεύουσα Καναδάς.,Η πρωτεύουσα Καναδάς είναι Οτάβα.
465,Πες την πρωτεύουσα Καναδάς.,Ψάξε: Καναδάς -> Οτάβα.,Η πρωτεύουσα Καναδάς λέγεται Οτάβα.
466,Πρωτεύουσα Καναδάς?,Γρήγορο στοιχείο: Οτάβα.,Οτάβα.
467,Ποια είναι η πρωτεύουσα Μεξικό?,Στοιχείο: Πόλη του Μεξικού είναι η πρωτεύουσα Μεξικό.,Η πρωτεύουσα Μεξικό είναι Πόλη του Μεξικού.
468,Πες την πρωτεύουσα Μεξικό.,Ψάξε: Μεξικό -> Πόλη του Μεξικού.,Η πρωτεύουσα Μεξικό λέγεται Πόλη του Μεξικού.
469,Πρωτεύουσα Μεξικό?,Γρήγορο στοιχείο: Πόλη του Μεξικού.,Πόλη του Μεξικού.
470,Ποια είναι η πρωτεύουσα Βραζιλία?,Στοιχείο: Μπραζίλια είναι η πρωτεύουσα Βραζιλία.,Η πρωτεύουσα Βραζιλία είναι Μπραζίλια.
471,Πες την πρωτεύουσα Βραζιλία.,Ψάξε: Βραζιλία -> Μπραζίλια.,Η πρωτεύουσα Βραζιλία λέγεται Μπραζίλια.
472,Πρωτεύουσα Βραζιλία?,Γρήγορο στοιχείο: Μπραζίλια.,Μπραζίλια.
473,Ποια είναι η πρωτεύουσα Αργεντινή?,Στοιχείο: Μπουένος Άιρες είναι η πρωτεύουσα Αργεντινή.,Η πρωτεύουσα Αργεντινή είναι Μπουένος Άιρες.
474,Πες την πρωτεύουσα Αργεντινή.,Ψάξε: Αργεντινή -> Μπουένος Άιρες.,Η πρωτεύουσα Αργεντινή λέγεται Μπουένος Άιρες.
475,Πρωτεύουσα Αργεντινή?,Γρήγορο στοιχείο: Μπουένος Άιρες.,Μπουένος Άιρες.
476,Ποια είναι η πρωτεύουσα Ιαπωνία?,Στοιχείο: Τόκιο είναι η πρωτεύουσα Ιαπωνία.,Η πρωτεύουσα Ιαπωνία είναι Τόκιο.
477,Πες την πρωτεύουσα Ιαπωνία.,Ψάξε: Ιαπωνία -> Τόκιο.,Η πρωτεύουσα Ιαπωνία λέγεται Τόκιο.
478,Πρωτεύουσα Ιαπωνία?,Γρήγορο στοιχείο: Τόκιο.,Τόκιο.
479,Ποια είναι η πρωτεύουσα Κίνα?,Στοιχείο: Πεκίνο είναι η πρωτεύουσα Κίνα.,Η πρωτεύουσα Κίνα είναι Πεκίνο.
480,Πες την πρωτεύουσα Κίνα.,Ψάξε: Κίνα -> Πεκίνο.,Η πρωτεύουσα Κίνα λέγεται Πεκίνο.
481,Πρωτεύουσα Κίνα?,Γρήγορο στοιχείο: Πεκίνο.,Πεκίνο.
482,Ποια είναι η πρωτεύουσα Ινδία?,Στοιχείο: Νέο Δελχί είναι η πρωτεύουσα Ινδία.,Η πρωτεύουσα Ινδία είναι Νέο Δελχί.
483,Πες την πρωτεύουσα Ινδία.,Ψάξε: Ινδία -> Νέο Δελχί.,Η πρωτεύουσα Ινδία λέγεται Νέο Δελχί.
484,Πρωτεύουσα Ινδία?,Γρήγορο στοιχείο: Νέο Δελχί.,Νέο Δελχί.
485,Ποια είναι η πρωτεύουσα Αυστραλία?,Στοιχείο: Καμπέρα είναι η πρωτεύουσα Αυστραλία.,Η πρωτεύουσα Αυστραλία είναι Καμπέρα.
486,Πες την πρωτεύουσα Αυστραλία.,Ψάξε: Αυστραλία -> Καμπέρα.,Η πρωτεύουσα Αυστραλία λέγεται Καμπέρα.
487,Πρωτεύουσα Αυστραλία?,Γρήγορο στοιχείο: Καμπέρα.,Καμπέρα.
488,Ποια είναι η πρωτεύουσα Αίγυπτος?,Στοιχείο: Κάιρο είναι η πρωτεύουσα Αίγυπτος.,Η πρωτεύουσα Αίγυπτος είναι Κάιρο.
489,Πες την πρωτεύουσα Αίγυπτος.,Ψάξε: Αίγυπτος -> Κάιρο.,Η πρωτεύουσα Αίγυπτος λέγεται Κάιρο.
490,Πρωτεύουσα Αίγυπτος?,Γρήγορο στοιχείο: Κάιρο.,Κάιρο.
491,Πόσα κρατίδια έχει η Γερμανία?,Μέτρα: 16 κρατίδια.,Η Γερμανία έχει 16 κρατίδια.
492,Πες μου σύντομα για γερμανικά κρατίδια.,Μέτρα: 16 κρατίδια.,Η Γερμανία έχει 16 κρατίδια.
493,Πόσοι ζουν στη Γερμανία περίπου?,Εκτίμηση: 83-84 εκατομμύρια.,Στη Γερμανία ζουν περίπου 83-84 εκατομμύρια άνθρωποι.
494,Πες μου σύντομα για γερμανικός πληθυσμός.,Εκτίμηση: 83-84 εκατομμύρια.,Στη Γερμανία ζουν περίπου 83-84 εκατομμύρια άνθρωποι.
495,Τι γλώσσα μιλούν στη Βραζιλία?,"Στοιχείο: πορτογαλικά, όχι ισπανικά.",Στη Βραζιλία μιλούν πορτογαλικά.
496,Πες μου σύντομα για γλώσσα Βραζιλίας.,"Στοιχείο: πορτογαλικά, όχι ισπανικά.",Στη Βραζιλία μιλούν πορτογαλικά.
497,Ποιο είναι το νόμισμα της Ιαπωνίας?,Στοιχείο: γεν.,Το νόμισμα της Ιαπωνίας είναι το γεν.
498,Πες μου σύντομα για νόμισμα Ιαπωνίας.,Στοιχείο: γεν.,Το νόμισμα της Ιαπωνίας είναι το γεν.
499,Ποιο είναι το νόμισμα των ΗΠΑ?,Στοιχείο: αμερικανικό δολάριο.,Το νόμισμα των ΗΠΑ είναι το αμερικανικό δολάριο.
500,Πες μου σύντομα για νόμισμα ΗΠΑ.,Στοιχείο: αμερικανικό δολάριο.,Το νόμισμα των ΗΠΑ είναι το αμερικανικό δολάριο.
501,Πόσες ήπειροι υπάρχουν;,Συνήθως: 7 ήπειροι.,"Συνήθως μετράμε 7 ηπείρους: Αφρική, Ανταρκτική, Ασία, Αυστραλία, Ευρώπη, Βόρεια Αμερική, Νότια Αμερική."
502,Πες μου σύντομα για ήπειροι.,Συνήθως: 7 ήπειροι.,"Συνήθως μετράμε 7 ηπείρους: Αφρική, Ανταρκτική, Ασία, Αυστραλία, Ευρώπη, Βόρεια Αμερική, Νότια Αμερική."
503,Ποιο είναι το μεγαλύτερο ποτάμι του κόσμου?,"Νείλος ή Αμαζόνιος, αμφισβητείται.","Αμφισβητείται: αναφέρονται Νείλος και Αμαζόνιος, και τα δύο πάνω από 6500 χλμ."
504,Πες μου σύντομα για μεγαλύτερο ποτάμι.,"Νείλος ή Αμαζόνιος, αμφισβητείται.","Αμφισβητείται: αναφέρονται Νείλος και Αμαζόνιος, και τα δύο πάνω από 6500 χλμ."
505,Ποια είναι η μεγαλύτερη χώρα του κόσμου?,Στοιχείο: Ρωσία σε έκταση.,Η μεγαλύτερη χώρα σε έκταση είναι η Ρωσία.
506,Πες μου σύντομα για μεγαλύτερη χώρα.,Στοιχείο: Ρωσία σε έκταση.,Η μεγαλύτερη χώρα σε έκταση είναι η Ρωσία.
507,Ποιο είναι το μεγαλύτερο ζώο του κόσμου?,Στοιχείο: γαλάζια φάλαινα.,Το μεγαλύτερο ζώο του κόσμου είναι η γαλάζια φάλαινα.
508,Πες μου σύντομα για μεγαλύτερο ζώο.,Στοιχείο: γαλάζια φάλαινα.,Το μεγαλύτερο ζώο του κόσμου είναι η γαλάζια φάλαινα.
509,Πόσοι ωκεανοί υπάρχουν;,Πρότυπο: 5 ωκεανοί.,"Υπάρχουν 5 ωκεανοί: Ατλαντικός, Ειρηνικός, Ινδικός, Νότιος και Αρκτικός."
510,Πες μου σύντομα για ωκεανοί.,Πρότυπο: 5 ωκεανοί.,"Υπάρχουν 5 ωκεανοί: Ατλαντικός, Ειρηνικός, Ινδικός, Νότιος και Αρκτικός."
511,Ποιο είναι το ψηλότερο βουνό του κόσμου?,"Στοιχείο: Έβερεστ, 8848 μ.","Το ψηλότερο βουνό είναι το Έβερεστ, περίπου 8848 μέτρα."
512,Πες μου σύντομα για ψηλότερο βουνό.,"Στοιχείο: Έβερεστ, 8848 μ.","Το ψηλότερο βουνό είναι το Έβερεστ, περίπου 8848 μέτρα."
513,Ποια είναι η πρωτεύουσα του Καναδά?,"Στοιχείο: Οτάβα, όχι Τορόντο.",Η πρωτεύουσα του Καναδά είναι η Οτάβα.
514,Πες μου σύντομα για πρωτεύουσα Καναδά.,"Στοιχείο: Οτάβα, όχι Τορόντο.",Η πρωτεύουσα του Καναδά είναι η Οτάβα.
515,Ποια είναι η πρωτεύουσα της Αυστραλίας?,"Στοιχείο: Καμπέρα, όχι Σίδνεϊ.",Η πρωτεύουσα της Αυστραλίας είναι η Καμπέρα.
516,Πες μου σύντομα για πρωτεύουσα Αυστραλίας.,"Στοιχείο: Καμπέρα, όχι Σίδνεϊ.",Η πρωτεύουσα της Αυστραλίας είναι η Καμπέρα.
517,Ποια είναι η πρωτεύουσα της Τουρκίας?,"Στοιχείο: Άγκυρα, όχι Κωνσταντινούπολη.",Η πρωτεύουσα της Τουρκίας είναι η Άγκυρα.
518,Πες μου σύντομα για πρωτεύουσα Τουρκίας.,"Στοιχείο: Άγκυρα, όχι Κωνσταντινούπολη.",Η πρωτεύουσα της Τουρκίας είναι η Άγκυρα.
519,Ποια είναι η πρωτεύουσα της Βραζιλίας?,"Στοιχείο: Μπραζίλια, όχι Ρίο.",Η πρωτεύουσα της Βραζιλίας είναι η Μπραζίλια.
520,Πες μου σύντομα για πρωτεύουσα Βραζιλίας.,"Στοιχείο: Μπραζίλια, όχι Ρίο.",Η πρωτεύουσα της Βραζιλίας είναι η Μπραζίλια.
521,Ποια χρονιά ήταν η προσελήνωση?,Ιστορία: Απόλλων 11 το 1969.,Η πρώτη προσελήνωση ήταν το 1969 με το Απόλλων 11.
522,Εξήγησε σύντομα: προσελήνωση.,Ιστορία: Απόλλων 11 το 1969.,Η πρώτη προσελήνωση ήταν το 1969 με το Απόλλων 11.
523,Τι ξέρεις για προσελήνωση?,Ιστορία: Απόλλων 11 το 1969.,Η πρώτη προσελήνωση ήταν το 1969 με το Απόλλων 11.
524,Πότε ήταν ο Β' Παγκόσμιος Πόλεμος?,Περίοδος: 1939-1945.,Ο Β' Παγκόσμιος Πόλεμος κράτησε από το 1939 ως το 1945.
525,Εξήγησε σύντομα: Β' Παγκόσμιος Πόλεμος.,Περίοδος: 1939-1945.,Ο Β' Παγκόσμιος Πόλεμος κράτησε από το 1939 ως το 1945.
526,Τι ξέρεις για Β' Παγκόσμιος Πόλεμος?,Περίοδος: 1939-1945.,Ο Β' Παγκόσμιος Πόλεμος κράτησε από το 1939 ως το 1945.
527,Πότε ήταν ο Α' Παγκόσμιος Πόλεμος?,Περίοδος: 1914-1918.,Ο Α' Παγκόσμιος Πόλεμος κράτησε από το 1914 ως το 1918.
528,Εξήγησε σύντομα: Α' Παγκόσμιος Πόλεμος.,Περίοδος: 1914-1918.,Ο Α' Παγκόσμιος Πόλεμος κράτησε από το 1914 ως το 1918.
529,Τι ξέρεις για Α' Παγκόσμιος Πόλεμος?,Περίοδος: 1914-1918.,Ο Α' Παγκόσμιος Πόλεμος κράτησε από το 1914 ως το 1918.
530,Τι ήταν το τείχος του Βερολίνου?,Ιστορία: διαίρεση 1961-1989.,Το τείχος του Βερολίνου ήταν το οχυρωμένο σύνορο μεταξύ Ανατολικού και Δυτικού Βερολίνου το 1961-1989.
531,Εξήγησε σύντομα: τείχος Βερολίνου.,Ιστορία: διαίρεση 1961-1989.,Το τείχος του Βερολίνου ήταν το οχυρωμένο σύνορο μεταξύ Ανατολικού και Δυτικού Βερολίνου το 1961-1989.
532,Τι ξέρεις για τείχος Βερολίνου?,Ιστορία: διαίρεση 1961-1989.,Το τείχος του Βερολίνου ήταν το οχυρωμένο σύνορο μεταξύ Ανατολικού και Δυτικού Βερολίνου το 1961-1989.
533,Πότε έπεσε το τείχος του Βερολίνου?,Στοιχείο: 9 Νοεμβρίου 1989.,Το τείχος του Βερολίνου έπεσε στις 9 Νοεμβρίου 1989.
534,Εξήγησε σύντομα: πτώση τείχους.,Στοιχείο: 9 Νοεμβρίου 1989.,Το τείχος του Βερολίνου έπεσε στις 9 Νοεμβρίου 1989.
535,Τι ξέρεις για πτώση τείχους?,Στοιχείο: 9 Νοεμβρίου 1989.,Το τείχος του Βερολίνου έπεσε στις 9 Νοεμβρίου 1989.
536,Ποιος εφηύρε το τηλέφωνο?,"Ιστορία: Μπελ 1876, έργα Μεούτσι.","Το τηλέφωνο κατοχυρώθηκε από τον Αλεξάντερ Γκράχαμ Μπελ το 1876, με τα έργα του Αντόνιο Μεούτσι."
537,Εξήγησε σύντομα: τηλέφωνο.,"Ιστορία: Μπελ 1876, έργα Μεούτσι.","Το τηλέφωνο κατοχυρώθηκε από τον Αλεξάντερ Γκράχαμ Μπελ το 1876, με τα έργα του Αντόνιο Μεούτσι."
538,Τι ξέρεις για τηλέφωνο?,"Ιστορία: Μπελ 1876, έργα Μεούτσι.","Το τηλέφωνο κατοχυρώθηκε από τον Αλεξάντερ Γκράχαμ Μπελ το 1876, με τα έργα του Αντόνιο Μεούτσι."
539,Ποιος ανέπτυξε τη σχετικότητα?,"Φυσική: Άλμπερτ Αϊνστάιν, 1905 και 1915.",Τη σχετικότητα ανέπτυξε ο Άλμπερτ Αϊνστάιν.
540,Εξήγησε σύντομα: σχετικότητα.,"Φυσική: Άλμπερτ Αϊνστάιν, 1905 και 1915.",Τη σχετικότητα ανέπτυξε ο Άλμπερτ Αϊνστάιν.
541,Τι ξέρεις για σχετικότητα?,"Φυσική: Άλμπερτ Αϊνστάιν, 1905 και 1915.",Τη σχετικότητα ανέπτυξε ο Άλμπερτ Αϊνστάιν.
542,Τι είναι η δημοκρατία?,"Ορισμός: εξουσία λαού, εκλογές, δικαιώματα.","Δημοκρατία σημαίνει εξουσία του λαού, συνήθως με ελεύθερες εκλογές και βασικά δικαιώματα."
543,Εξήγησε σύντομα: δημοκρατία.,"Ορισμός: εξουσία λαού, εκλογές, δικαιώματα.","Δημοκρατία σημαίνει εξουσία του λαού, συνήθως με ελεύθερες εκλογές και βασικά δικαιώματα."
544,Τι ξέρεις για δημοκρατία?,"Ορισμός: εξουσία λαού, εκλογές, δικαιώματα.","Δημοκρατία σημαίνει εξουσία του λαού, συνήθως με ελεύθερες εκλογές και βασικά δικαιώματα."
545,Τι είναι η ΕΕ?,"Ένωση ευρωπαϊκών κρατών, ενιαία αγορά.",Η ΕΕ είναι ένωση ευρωπαϊκών κρατών με ενιαία αγορά και κοινούς θεσμούς.
546,Εξήγησε σύντομα: ΕΕ.,"Ένωση ευρωπαϊκών κρατών, ενιαία αγορά.",Η ΕΕ είναι ένωση ευρωπαϊκών κρατών με ενιαία αγορά και κοινούς θεσμούς.
547,Τι ξέρεις για ΕΕ?,"Ένωση ευρωπαϊκών κρατών, ενιαία αγορά.",Η ΕΕ είναι ένωση ευρωπαϊκών κρατών με ενιαία αγορά και κοινούς θεσμούς.
548,Πόσες χώρες είναι στην ΕΕ?,Στοιχείο: 27 κράτη-μέλη.,Η ΕΕ έχει 27 κράτη-μέλη.
549,Εξήγησε σύντομα: μέλη ΕΕ.,Στοιχείο: 27 κράτη-μέλη.,Η ΕΕ έχει 27 κράτη-μέλη.
550,Τι ξέρεις για μέλη ΕΕ?,Στοιχείο: 27 κράτη-μέλη.,Η ΕΕ έχει 27 κράτη-μέλη.
551,Τι είναι ο γερμανικός Θεμελιώδης Νόμος?,Σύνταγμα από το 1949.,"Ο Θεμελιώδης Νόμος είναι το σύνταγμα της Γερμανίας, σε ισχύ από το 1949."
552,Εξήγησε σύντομα: Θεμελιώδης Νόμος.,Σύνταγμα από το 1949.,"Ο Θεμελιώδης Νόμος είναι το σύνταγμα της Γερμανίας, σε ισχύ από το 1949."
553,Τι ξέρεις για Θεμελιώδης Νόμος?,Σύνταγμα από το 1949.,"Ο Θεμελιώδης Νόμος είναι το σύνταγμα της Γερμανίας, σε ισχύ από το 1949."
554,Ποια χρονιά επανενώθηκε η Γερμανία?,Στοιχείο: 1990.,Η Γερμανία επανενώθηκε το 1990.
555,Εξήγησε σύντομα: επανένωση.,Στοιχείο: 1990.,Η Γερμανία επανενώθηκε το 1990.
556,Τι ξέρεις για επανένωση?,Στοιχείο: 1990.,Η Γερμανία επανενώθηκε το 1990.
557,Τι ήταν ο Μεσαίωνας?,Εποχή: περίπου 500-1500.,"Ο Μεσαίωνας ήταν η εποχή περίπου 500-1500, μεταξύ αρχαιότητας και νεωτερικότητας."
558,Εξήγησε σύντομα: Μεσαίωνας.,Εποχή: περίπου 500-1500.,"Ο Μεσαίωνας ήταν η εποχή περίπου 500-1500, μεταξύ αρχαιότητας και νεωτερικότητας."
559,Τι ξέρεις για Μεσαίωνας?,Εποχή: περίπου 500-1500.,"Ο Μεσαίωνας ήταν η εποχή περίπου 500-1500, μεταξύ αρχαιότητας και νεωτερικότητας."
560,Ποιος ήταν ο Λεονάρντο ντα Βίντσι?,"Ιταλός καλλιτέχνης και εφευρέτης, Μόνα Λίζα.","Ο Λεονάρντο ντα Βίντσι ήταν Ιταλός καλλιτέχνης και εφευρέτης, διάσημος για τη Μόνα Λίζα."
561,Εξήγησε σύντομα: Ντα Βίντσι.,"Ιταλός καλλιτέχνης και εφευρέτης, Μόνα Λίζα.","Ο Λεονάρντο ντα Βίντσι ήταν Ιταλός καλλιτέχνης και εφευρέτης, διάσημος για τη Μόνα Λίζα."
