id,user,thinking,ai
501,Сколько континентов?,Обычно: 7 континентов.,"Обычно считают 7 континентов: Африка, Антарктида, Азия, Австралия, Европа, Северная Америка, Южная Америка."
502,Расскажи кратко о континенты.,Обычно: 7 континентов.,"Обычно считают 7 континентов: Африка, Антарктида, Азия, Австралия, Европа, Северная Америка, Южная Америка."
503,Какая самая длинная река в мире?,"Нил или Амазонка, спорно.","Спорно: называют Нил и Амазонку, обе длиннее 6500 км."
504,Расскажи кратко о самая длинная река.,"Нил или Амазонка, спорно.","Спорно: называют Нил и Амазонку, обе длиннее 6500 км."
505,Какая самая большая страна в мире?,Факт: Россия по площади.,Самая большая страна по площади - Россия.
506,Расскажи кратко о самая большая страна.,Факт: Россия по площади.,Самая большая страна по площади - Россия.
507,Какое самое большое животное в мире?,Факт: синий кит.,Самое большое животное в мире - синий кит.
508,Расскажи кратко о самое большое животное.,Факт: синий кит.,Самое большое животное в мире - синий кит.
509,Сколько океанов?,Стандарт: 5 океанов.,"Океанов 5: Атлантический, Тихий, Индийский, Южный и Северный Ледовитый."
510,Расскажи кратко о океаны.,Стандарт: 5 океанов.,"Океанов 5: Атлантический, Тихий, Индийский, Южный и Северный Ледовитый."
511,Какая самая высокая гора в мире?,"Факт: Эверест, 8848 м.","Самая высокая гора - Эверест, около 8848 метров."
512,Расскажи кратко о самая высокая гора.,"Факт: Эверест, 8848 м.","Самая высокая гора - Эверест, около 8848 метров."
513,Какая столица Канады?,"Факт: Оттава, не Торонто.",Столица Канады - Оттава.
514,Расскажи кратко о столица Канады.,"Факт: Оттава, не Торонто.",Столица Канады - Оттава.
515,Какая столица Австралии?,"Факт: Канберра, не Сидней.",Столица Австралии - Канберра.
516,Расскажи кратко о столица Австралии.,"Факт: Канберра, не Сидней.",Столица Австралии - Канберра.
517,Какая столица Турции?,"Факт: Анкара, не Стамбул.",Столица Турции - Анкара.
518,Расскажи кратко о столица Турции.,"Факт: Анкара, не Стамбул.",Столица Турции - Анкара.
519,Какая столица Бразилии?,"Факт: Бразилиа, не Рио.",Столица Бразилии - Бразилиа.
520,Расскажи кратко о столица Бразилии.,"Факт: Бразилиа, не Рио.",Столица Бразилии - Бразилиа.
521,В каком году была высадка на Луну?,История: Аполлон-11 в 1969.,Первая высадка на Луну была в 1969 году с Аполлоном-11.
522,Объясни кратко: высадка на Луну.,История: Аполлон-11 в 1969.,Первая высадка на Луну была в 1969 году с Аполлоном-11.
523,Что ты знаешь о высадка на Луну?,История: Аполлон-11 в 1969.,Первая высадка на Луну была в 1969 году с Аполлоном-11.
524,Когда была Вторая мировая война?,Период: 1939-1945.,Вторая мировая война длилась с 1939 по 1945 год.
525,Объясни кратко: Вторая мировая война.,Период: 1939-1945.,Вторая мировая война длилась с 1939 по 1945 год.
526,Что ты знаешь о Вторая мировая война?,Период: 1939-1945.,Вторая мировая война длилась с 1939 по 1945 год.
527,Когда была Первая мировая война?,Период: 1914-1918.,Первая мировая война длилась с 1914 по 1918 год.
528,Объясни кратко: Первая мировая война.,Период: 1914-1918.,Первая мировая война длилась с 1914 по 1918 год.
529,Что ты знаешь о Первая мировая война?,Период: 1914-1918.,Первая мировая война длилась с 1914 по 1918 год.
530,Что такое Берлинская стена?,История: разделение 1961-1989.,Берлинская стена была укреплённой границей между Восточным и Западным Берлином в 1961-1989 годах.
531,Объясни кратко: берлинская стена.,История: разделение 1961-1989.,Берлинская стена была укреплённой границей между Восточным и Западным Берлином в 1961-1989 годах.
532,Что ты знаешь о берлинская стена?,История: разделение 1961-1989.,Берлинская стена была укреплённой границей между Восточным и Западным Берлином в 1961-1989 годах.
533,Когда упала Берлинская стена?,Факт: 9 ноября 1989 года.,Берлинская стена упала 9 ноября 1989 года.
534,Объясни кратко: падение стены.,Факт: 9 ноября 1989 года.,Берлинская стена упала 9 ноября 1989 года.
535,Что ты знаешь о падение стены?,Факт: 9 ноября 1989 года.,Берлинская стена упала 9 ноября 1989 года.
536,Кто изобрёл телефон?,"История: Белл 1876, работы Меуччи.","Телефон запатентовал Александр Грэм Белл в 1876 году, с работами Антонио Меуччи."
537,Объясни кратко: телефон.,"История: Белл 1876, работы Меуччи.","Телефон запатентовал Александр Грэм Белл в 1876 году, с работами Антонио Меуччи."
538,Что ты знаешь о телефон?,"История: Белл 1876, работы Меуччи.","Телефон запатентовал Александр Грэм Белл в 1876 году, с работами Антонио Меуччи."
539,Кто разработал относительность?,"Физика: Альберт Эйнштейн, 1905 и 1915.",Теорию относительности разработал Альберт Эйнштейн.
540,Объясни кратко: относительность.,"Физика: Альберт Эйнштейн, 1905 и 1915.",Теорию относительности разработал Альберт Эйнштейн.
541,Что ты знаешь о относительность?,"Физика: Альберт Эйнштейн, 1905 и 1915.",Теорию относительности разработал Альберт Эйнштейн.
542,Что такое демократия?,"Определение: власть народа, выборы, права.","Демократия - власть народа, обычно через свободные выборы и основные права."
543,Объясни кратко: демократия.,"Определение: власть народа, выборы, права.","Демократия - власть народа, обычно через свободные выборы и основные права."
544,Что ты знаешь о демократия?,"Определение: власть народа, выборы, права.","Демократия - власть народа, обычно через свободные выборы и основные права."
545,Что такое ЕС?,"Союз европейских государств, общий рынок.",ЕС - союз европейских государств с общим рынком и институтами.
546,Объясни кратко: ЕС.,"Союз европейских государств, общий рынок.",ЕС - союз европейских государств с общим рынком и институтами.
547,Что ты знаешь о ЕС?,"Союз европейских государств, общий рынок.",ЕС - союз европейских государств с общим рынком и институтами.
548,Сколько стран в ЕС?,Факт: 27 государств-членов.,В ЕС 27 государств-членов.
549,Объясни кратко: члены ЕС.,Факт: 27 государств-членов.,В ЕС 27 государств-членов.
550,Что ты знаешь о члены ЕС?,Факт: 27 государств-членов.,В ЕС 27 государств-членов.
551,Что такое Основной закон Германии?,Конституция с 1949 года.,"Основной закон - конституция Германии, действует с 1949 года."
552,Объясни кратко: Основной закон.,Конституция с 1949 года.,"Основной закон - конституция Германии, действует с 1949 года."
553,Что ты знаешь о Основной закон?,Конституция с 1949 года.,"Основной закон - конституция Германии, действует с 1949 года."
554,В каком году воссоединилась Германия?,Факт: 1990.,Германия воссоединилась в 1990 году.
555,Объясни кратко: воссоединение.,Факт: 1990.,Германия воссоединилась в 1990 году.
556,Что ты знаешь о воссоединение?,Факт: 1990.,Германия воссоединилась в 1990 году.
557,Что такое средневековье?,Эпоха: примерно 500-1500.,"Средневековье - эпоха примерно 500-1500 годов, между античностью и новым временем."
558,Объясни кратко: средневековье.,Эпоха: примерно 500-1500.,"Средневековье - эпоха примерно 500-1500 годов, между античностью и новым временем."
559,Что ты знаешь о средневековье?,Эпоха: примерно 500-1500.,"Средневековье - эпоха примерно 500-1500 годов, между античностью и новым временем."
560,Кто такой Леонардо да Винчи?,"Итальянский художник и изобретатель, Мона Лиза.","Леонардо да Винчи - итальянский художник и изобретатель, известен Моной Лизой."
561,Объясни кратко: Да Винчи.,"Итальянский художник и изобретатель, Мона Лиза.","Леонардо да Винчи - итальянский художник и изобретатель, известен Моной Лизой."
562,Что ты знаешь о Да Винчи?,"Итальянский художник и изобретатель, Мона Лиза.","Леонардо да Винчи - итальянский художник и изобретатель, известен Моной Лизой."
563,Кто такая Мария Кюри?,"Физик, радиоактивность, две Нобелевские.",Мария Кюри изучала радиоактивность и получила две Нобелевские премии.
564,Объясни кратко: Мария Кюри.,"Физик, радиоактивность, две Нобелевские.",Мария Кюри изучала радиоактивность и получила две Нобелевские премии.
565,Что ты знаешь о Мария Кюри?,"Физик, радиоактивность, две Нобелевские.",Мария Кюри изучала радиоактивность и получила две Нобелевские премии.
566,Что такое Французская революция?,"С 1789 года, свобода равенство братство.","Французская революция с 1789 года свергла монархию под свободой, равенством, братством."
567,Объясни кратко: Французская революция.,"С 1789 года, свобода равенство братство.","Французская революция с 1789 года свергла монархию под свободой, равенством, братством."
568,Что ты знаешь о Французская революция?,"С 1789 года, свобода равенство братство.","Французская революция с 1789 года свергла монархию под свободой, равенством, братством."
569,Что такое права человека?,Всеобщие основные права.,"Права человека - основные права каждого, как жизнь, свобода и равенство."
570,Объясни кратко: права человека.,Всеобщие основные права.,"Права человека - основные права каждого, как жизнь, свобода и равенство."
571,Что ты знаешь о права человека?,Всеобщие основные права.,"Права человека - основные права каждого, как жизнь, свобода и равенство."
572,Что такое инфляция?,"Экономика: деньги теряют ценность, цены растут.",Инфляция - рост цен и потеря ценности денег.
573,Объясни кратко: инфляция.,"Экономика: деньги теряют ценность, цены растут.",Инфляция - рост цен и потеря ценности денег.
574,Что ты знаешь о инфляция?,"Экономика: деньги теряют ценность, цены растут.",Инфляция - рост цен и потеря ценности денег.
575,Что такое индустриализация?,Машины и фабрики с XVIII века.,Индустриализация - переход к машинам и фабрикам с XVIII века.
576,Объясни кратко: индустриализация.,Машины и фабрики с XVIII века.,Индустриализация - переход к машинам и фабрикам с XVIII века.
577,Что ты знаешь о индустриализация?,Машины и фабрики с XVIII века.,Индустриализация - переход к машинам и фабрикам с XVIII века.
578,Когда изобрели интернет?,"ARPANET 1969, Web 1989.","Основы - ARPANET в 1969 году, Web с 1989 года."
579,Объясни кратко: интернет.,"ARPANET 1969, Web 1989.","Основы - ARPANET в 1969 году, Web с 1989 года."
580,Что ты знаешь о интернет?,"ARPANET 1969, Web 1989.","Основы - ARPANET в 1969 году, Web с 1989 года."
581,Когда изобрели автомобиль?,Бенц 1886.,Автомобиль изобрёл Карл Бенц в 1886 году.
582,Объясни кратко: автомобиль.,Бенц 1886.,Автомобиль изобрёл Карл Бенц в 1886 году.
583,Что ты знаешь о автомобиль?,Бенц 1886.,Автомобиль изобрёл Карл Бенц в 1886 году.
584,Кто изобрёл самолёт?,"Братья Райт, полёт 1903.",Первый моторный полёт совершили братья Райт в 1903 году.
585,Объясни кратко: самолёт.,"Братья Райт, полёт 1903.",Первый моторный полёт совершили братья Райт в 1903 году.
586,Что ты знаешь о самолёт?,"Братья Райт, полёт 1903.",Первый моторный полёт совершили братья Райт в 1903 году.
587,С какого возраста голосуют в Германии?,"Бундестаг с 18, выборы ЕС с 16.",В Бундестаг с 18 лет. На выборах ЕС в Германии с 16 лет.
588,Объясни кратко: возраст голосования.,"Бундестаг с 18, выборы ЕС с 16.",В Бундестаг с 18 лет. На выборах ЕС в Германии с 16 лет.
589,Что ты знаешь о возраст голосования?,"Бундестаг с 18, выборы ЕС с 16.",В Бундестаг с 18 лет. На выборах ЕС в Германии с 16 лет.
590,"Как работают выборы, просто?","Избиратели голосуют, подсчёт, мандаты.","Избиратели голосуют, голоса считают и мандаты делят по результату."
591,Объясни кратко: выборы.,"Избиратели голосуют, подсчёт, мандаты.","Избиратели голосуют, голоса считают и мандаты делят по результату."
592,Что ты знаешь о выборы?,"Избиратели голосуют, подсчёт, мандаты.","Избиратели голосуют, голоса считают и мандаты делят по результату."
593,Чем диктатура отличается от демократии?,Единоличие против власти народа.,В диктатуре один человек или группа правит без свободных выборов; в демократии власть от народа.
594,Объясни кратко: диктатура и демократия.,Единоличие против власти народа.,В диктатуре один человек или группа правит без свободных выборов; в демократии власть от народа.
595,Что ты знаешь о диктатура и демократия?,Единоличие против власти народа.,В диктатуре один человек или группа правит без свободных выборов; в демократии власть от народа.
596,Что значит устойчивость?,Ресурсы будущим поколениям.,"Устойчивость - жить так, чтобы будущим поколениям тоже хватило ресурсов."
597,Объясни кратко: устойчивость.,Ресурсы будущим поколениям.,"Устойчивость - жить так, чтобы будущим поколениям тоже хватило ресурсов."
598,Что ты знаешь о устойчивость?,Ресурсы будущим поколениям.,"Устойчивость - жить так, чтобы будущим поколениям тоже хватило ресурсов."
599,Что такое травля и что делать?,"Повторяется; помощь, доказательства.","Травля - повторяющиеся издевательства. Поговори с близкими, сохраняй доказательства, ищи помощь."
600,Объясни кратко: травля.,"Повторяется; помощь, доказательства.","Травля - повторяющиеся издевательства. Поговори с близкими, сохраняй доказательства, ищи помощь."
601,Что ты знаешь о травля?,"Повторяется; помощь, доказательства.","Травля - повторяющиеся издевательства. Поговори с близкими, сохраняй доказательства, ищи помощь."
602,Что значит мир?,Жизнь без войны и насилия.,Мир - жизнь вместе без войны и насилия.
603,Объясни кратко: мир.,Жизнь без войны и насилия.,Мир - жизнь вместе без войны и насилия.
604,Что ты знаешь о мир?,Жизнь без войны и насилия.,Мир - жизнь вместе без войны и насилия.
605,Что значит свобода?,Жить свободно не вредя другим.,Свобода - жить свободно не вредя другим.
606,Объясни кратко: свобода.,Жить свободно не вредя другим.,Свобода - жить свободно не вредя другим.
607,Что ты знаешь о свобода?,Жить свободно не вредя другим.,Свобода - жить свободно не вредя другим.
608,Что значит справедливость?,Честное и равное отношение ко всем.,Справедливость - честное и равное отношение к каждому.
609,Объясни кратко: справедливость.,Честное и равное отношение ко всем.,Справедливость - честное и равное отношение к каждому.
610,Что ты знаешь о справедливость?,Честное и равное отношение ко всем.,Справедливость - честное и равное отношение к каждому.
611,Почему небо голубое?,Рассеяние Рэлея рассеивает синий.,Небо голубое из-за рассеяния Рэлея: синий свет рассеивается сильнее красного.
612,Объясни голубое небо одним предложением.,Рассеяние Рэлея рассеивает синий.,Небо голубое из-за рассеяния Рэлея: синий свет рассеивается сильнее красного.
613,Что такое голубое небо? (кратко),Рассеяние Рэлея рассеивает синий.,Небо голубое из-за рассеяния Рэлея: синий свет рассеивается сильнее красного.
614,Как образуется дождь?,"Цикл: испарение, конденсация, осадки.","Дождь образуется испарением: вода поднимается, остывает, образует облака и падает каплями."
615,Объясни дождь одним предложением.,"Цикл: испарение, конденсация, осадки.","Дождь образуется испарением: вода поднимается, остывает, образует облака и падает каплями."
616,Что такое дождь? (кратко),"Цикл: испарение, конденсация, осадки.","Дождь образуется испарением: вода поднимается, остывает, образует облака и падает каплями."
617,Что такое фотосинтез?,"Растения: свет, вода, CO2 в сахар и кислород.","Фотосинтез делает сахар и кислород из света, воды и CO2."
618,Объясни фотосинтез одним предложением.,"Растения: свет, вода, CO2 в сахар и кислород.","Фотосинтез делает сахар и кислород из света, воды и CO2."
619,Что такое фотосинтез? (кратко),"Растения: свет, вода, CO2 в сахар и кислород.","Фотосинтез делает сахар и кислород из света, воды и CO2."
620,Чем погода отличается от климата?,"Погода коротко, климат среднее 30 лет.",Погода - состояние на короткое время; климат - среднее примерно за 30 лет.
621,Объясни погода и климат одним предложением.,"Погода коротко, климат среднее 30 лет.",Погода - состояние на короткое время; климат - среднее примерно за 30 лет.
622,Что такое погода и климат? (кратко),"Погода коротко, климат среднее 30 лет.",Погода - состояние на короткое время; климат - среднее примерно за 30 лет.
623,"Как работает холодильник, вкратце?","Хладагент, тепло изнутри наружу.","Холодильник качает тепло изнутри наружу хладагентом: испаряется внутри, забирает тепло, отдаёт снаружи."
624,Объясни холодильник одним предложением.,"Хладагент, тепло изнутри наружу.","Холодильник качает тепло изнутри наружу хладагентом: испаряется внутри, забирает тепло, отдаёт снаружи."
625,Что такое холодильник? (кратко),"Хладагент, тепло изнутри наружу.","Холодильник качает тепло изнутри наружу хладагентом: испаряется внутри, забирает тепло, отдаёт снаружи."
626,"Что такое электричество, просто?",Направленное движение электронов.,"Электричество - просто направленное движение зарядов, обычно электронов в проводе."
627,Объясни электричество одним предложением.,Направленное движение электронов.,"Электричество - просто направленное движение зарядов, обычно электронов в проводе."
628,Что такое электричество? (кратко),Направленное движение электронов.,"Электричество - просто направленное движение зарядов, обычно электронов в проводе."
629,"Что такое вода, химически?","H2O, водород и кислород.","Вода - H2O, соединение водорода и кислорода."
630,Объясни вода химия одним предложением.,"H2O, водород и кислород.","Вода - H2O, соединение водорода и кислорода."
631,Что такое вода химия? (кратко),"H2O, водород и кислород.","Вода - H2O, соединение водорода и кислорода."
632,Что такое вирус?,"Крошечный, нужна клетка-хозяин.","Вирус - крошечный возбудитель, который не размножается без клетки-хозяина."
633,Объясни вирус одним предложением.,"Крошечный, нужна клетка-хозяин.","Вирус - крошечный возбудитель, который не размножается без клетки-хозяина."
634,Что такое вирус? (кратко),"Крошечный, нужна клетка-хозяин.","Вирус - крошечный возбудитель, который не размножается без клетки-хозяина."
635,"Что такое искусственный интеллект, просто?",Программы учат шаблоны.,"Искусственный интеллект - программы, которые учатся на данных, узнают шаблоны и решают задачи."
636,Объясни ИИ одним предложением.,Программы учат шаблоны.,"Искусственный интеллект - программы, которые учатся на данных, узнают шаблоны и решают задачи."
637,Что такое ИИ? (кратко),Программы учат шаблоны.,"Искусственный интеллект - программы, которые учатся на данных, узнают шаблоны и решают задачи."
638,Что такое браузер?,"Программа для сайтов, напр. Chrome, Firefox.","Браузер - программа для открытия сайтов, напр. Chrome, Firefox, Edge или Safari."
639,Объясни браузер одним предложением.,"Программа для сайтов, напр. Chrome, Firefox.","Браузер - программа для открытия сайтов, напр. Chrome, Firefox, Edge или Safari."
640,Что такое браузер? (кратко),"Программа для сайтов, напр. Chrome, Firefox.","Браузер - программа для открытия сайтов, напр. Chrome, Firefox, Edge или Safari."
641,Что такое приложение?,"Программа, обычно для телефонов.","Приложение - программа, обычно для телефонов, напр. сообщения, фото или игры."
642,Объясни приложение одним предложением.,"Программа, обычно для телефонов.","Приложение - программа, обычно для телефонов, напр. сообщения, фото или игры."
643,Что такое приложение? (кратко),"Программа, обычно для телефонов.","Приложение - программа, обычно для телефонов, напр. сообщения, фото или игры."
644,Зачем пить воду?,"Кровообращение, фокус, кожа, почки.","Вода держит кровообращение и фокус, помогает почкам и коже, предотвращает головную боль."
645,Объясни пить воду одним предложением.,"Кровообращение, фокус, кожа, почки.","Вода держит кровообращение и фокус, помогает почкам и коже, предотвращает головную боль."
646,Что такое пить воду? (кратко),"Кровообращение, фокус, кожа, почки.","Вода держит кровообращение и фокус, помогает почкам и коже, предотвращает головную боль."
647,Сколько чистить зубы?,"2 минуты, два раза в день.","Около 2 минут, два раза в день."
648,Объясни чистить зубы одним предложением.,"2 минуты, два раза в день.","Около 2 минут, два раза в день."
649,Что такое чистить зубы? (кратко),"2 минуты, два раза в день.","Около 2 минут, два раза в день."
650,Что такое гравитация?,Притяжение масс; Земля притягивает.,"Гравитация - притяжение масс. Земля притягивает всё вниз, поэтому вещи падают."
651,Объясни гравитация одним предложением.,Притяжение масс; Земля притягивает.,"Гравитация - притяжение масс. Земля притягивает всё вниз, поэтому вещи падают."
652,Что такое гравитация? (кратко),Притяжение масс; Земля притягивает.,"Гравитация - притяжение масс. Земля притягивает всё вниз, поэтому вещи падают."
653,Что такое воздух?,"Смесь азота, кислорода и ещё.","Воздух - смесь газов, в основном азот и кислород."
654,Объясни воздух одним предложением.,"Смесь азота, кислорода и ещё.","Воздух - смесь газов, в основном азот и кислород."
655,Что такое воздух? (кратко),"Смесь азота, кислорода и ещё.","Воздух - смесь газов, в основном азот и кислород."
656,Что делает сердце?,Качает кровь по телу.,Сердце качает кровь по всему телу.
657,Объясни сердце одним предложением.,Качает кровь по телу.,Сердце качает кровь по всему телу.
658,Что такое сердце? (кратко),Качает кровь по телу.,Сердце качает кровь по всему телу.
659,Что делают лёгкие?,"Берут кислород, отдают CO2.",Лёгкие берут кислород и отдают углекислый газ.
660,Объясни лёгкие одним предложением.,"Берут кислород, отдают CO2.",Лёгкие берут кислород и отдают углекислый газ.
661,Что такое лёгкие? (кратко),"Берут кислород, отдают CO2.",Лёгкие берут кислород и отдают углекислый газ.
662,Почему сон важен?,"Восстановление, память, иммунитет.","Сон помогает восстановлению, памяти и иммунитету."
663,Объясни сон одним предложением.,"Восстановление, память, иммунитет.","Сон помогает восстановлению, памяти и иммунитету."
664,Что такое сон? (кратко),"Восстановление, память, иммунитет.","Сон помогает восстановлению, памяти и иммунитету."
665,Что такое температура при болезни?,Повышенная температура как защита.,"Температура - повышенная температура тела, часто защита от инфекций."
666,Объясни температура одним предложением.,Повышенная температура как защита.,"Температура - повышенная температура тела, часто защита от инфекций."
667,Что такое температура? (кратко),Повышенная температура как защита.,"Температура - повышенная температура тела, часто защита от инфекций."
668,Что такое надёжный пароль?,"Длинный, уникальный, в менеджере.","Надёжный пароль длинный, уникальный для сервиса и хранится в менеджере."
669,Объясни надёжный пароль одним предложением.,"Длинный, уникальный, в менеджере.","Надёжный пароль длинный, уникальный для сервиса и хранится в менеджере."
670,Что такое надёжный пароль? (кратко),"Длинный, уникальный, в менеджере.","Надёжный пароль длинный, уникальный для сервиса и хранится в менеджере."
671,Что такое Wi-Fi?,Беспроводная локальная сеть.,Wi-Fi - беспроводная локальная сеть для интернета без кабелей.
672,Объясни Wi-Fi одним предложением.,Беспроводная локальная сеть.,Wi-Fi - беспроводная локальная сеть для интернета без кабелей.
673,Что такое Wi-Fi? (кратко),Беспроводная локальная сеть.,Wi-Fi - беспроводная локальная сеть для интернета без кабелей.
674,Что такое облако?,Серверы в интернете для данных и услуг.,"Облако - серверы в интернете, где хранишь данные и пользуешься услугами."
675,Объясни облако одним предложением.,Серверы в интернете для данных и услуг.,"Облако - серверы в интернете, где хранишь данные и пользуешься услугами."
676,Что такое облако? (кратко),Серверы в интернете для данных и услуг.,"Облако - серверы в интернете, где хранишь данные и пользуешься услугами."
677,Как работает GPS?,"Спутники, время сигнала, расчёт.",GPS находит позицию по сигналам спутников и времени пути.
678,Объясни GPS одним предложением.,"Спутники, время сигнала, расчёт.",GPS находит позицию по сигналам спутников и времени пути.
679,Что такое GPS? (кратко),"Спутники, время сигнала, расчёт.",GPS находит позицию по сигналам спутников и времени пути.
680,Почему есть день и ночь?,Вращение Земли.,"День и ночь есть потому, что Земля вращается. Солнечная сторона - день, другая - ночь."
681,Объясни день и ночь одним предложением.,Вращение Земли.,"День и ночь есть потому, что Земля вращается. Солнечная сторона - день, другая - ночь."
682,Что такое день и ночь? (кратко),Вращение Земли.,"День и ночь есть потому, что Земля вращается. Солнечная сторона - день, другая - ночь."
683,Почему есть времена года?,Наклон оси Земли.,Времена года из-за наклона оси: каждое полушарие наклоняется к солнцу по очереди.
684,Объясни времена года одним предложением.,Наклон оси Земли.,Времена года из-за наклона оси: каждое полушарие наклоняется к солнцу по очереди.
685,Что такое времена года? (кратко),Наклон оси Земли.,Времена года из-за наклона оси: каждое полушарие наклоняется к солнцу по очереди.
686,Почему Луна светит?,Отражает солнце.,"Луна светит потому, что отражает свет солнца."
687,Объясни яркая луна одним предложением.,Отражает солнце.,"Луна светит потому, что отражает свет солнца."
688,Что такое яркая луна? (кратко),Отражает солнце.,"Луна светит потому, что отражает свет солнца."
689,Что такое Солнце?,Звезда из горячего газа.,"Солнце - звезда из горячего газа, даёт свет и тепло."
690,Объясни солнце одним предложением.,Звезда из горячего газа.,"Солнце - звезда из горячего газа, даёт свет и тепло."
691,Что такое солнце? (кратко),Звезда из горячего газа.,"Солнце - звезда из горячего газа, даёт свет и тепло."
692,Сколько планет в солнечной системе?,8 планет.,"В нашей системе 8 планет: Меркурий, Венера, Земля, Марс, Юпитер, Сатурн, Уран, Нептун."
693,Объясни планеты одним предложением.,8 планет.,"В нашей системе 8 планет: Меркурий, Венера, Земля, Марс, Юпитер, Сатурн, Уран, Нептун."
694,Что такое планеты? (кратко),8 планет.,"В нашей системе 8 планет: Меркурий, Венера, Земля, Марс, Юпитер, Сатурн, Уран, Нептун."
695,Что такое атом?,Мельчайшая единица: ядро плюс электроны.,"Атом - мельчайшая единица вещества, из ядра и электронов."
696,Объясни атом одним предложением.,Мельчайшая единица: ядро плюс электроны.,"Атом - мельчайшая единица вещества, из ядра и электронов."
697,Что такое атом? (кратко),Мельчайшая единица: ядро плюс электроны.,"Атом - мельчайшая единица вещества, из ядра и электронов."
698,Что такое переработка?,"Собирать отходы, делать новые товары.","Переработка собирает отходы, чтобы делать новые товары."
699,Объясни переработка одним предложением.,"Собирать отходы, делать новые товары.","Переработка собирает отходы, чтобы делать новые товары."
700,Что такое переработка? (кратко),"Собирать отходы, делать новые товары.","Переработка собирает отходы, чтобы делать новые товары."
701,Что такое парниковый эффект?,Газы держат тепло.,Парниковый эффект держит тепло. Слишком много газов греет климат.
702,Объясни парниковый эффект одним предложением.,Газы держат тепло.,Парниковый эффект держит тепло. Слишком много газов греет климат.
703,Что такое парниковый эффект? (кратко),Газы держат тепло.,Парниковый эффект держит тепло. Слишком много газов греет климат.
704,Почему пчёлы важны?,"Опыление, урожаи.","Пчёлы опыляют растения, сохраняя урожаи и разнообразие."
705,Объясни пчёлы одним предложением.,"Опыление, урожаи.","Пчёлы опыляют растения, сохраняя урожаи и разнообразие."
706,Что такое пчёлы? (кратко),"Опыление, урожаи.","Пчёлы опыляют растения, сохраняя урожаи и разнообразие."
707,Почему листья зелёные?,Пигмент хлорофилл.,"Листья зелёные из-за хлорофилла, пигмента фотосинтеза."
708,Объясни зелёные листья одним предложением.,Пигмент хлорофилл.,"Листья зелёные из-за хлорофилла, пигмента фотосинтеза."
709,Что такое зелёные листья? (кратко),Пигмент хлорофилл.,"Листья зелёные из-за хлорофилла, пигмента фотосинтеза."
710,Кто такие млекопитающие?,"Шерсть, живорождение, молоко.","Млекопитающие имеют шерсть, рождают живых детёнышей и кормят молоком."
711,Объясни млекопитающие одним предложением.,"Шерсть, живорождение, молоко.","Млекопитающие имеют шерсть, рождают живых детёнышей и кормят молоком."
712,Что такое млекопитающие? (кратко),"Шерсть, живорождение, молоко.","Млекопитающие имеют шерсть, рождают живых детёнышей и кормят молоком."
713,Как работает батарейка?,Химическая энергия в электрическую.,Батарейка превращает химическую энергию в электрическую.
714,Объясни батарейки одним предложением.,Химическая энергия в электрическую.,Батарейка превращает химическую энергию в электрическую.
715,Что такое батарейки? (кратко),Химическая энергия в электрическую.,Батарейка превращает химическую энергию в электрическую.
716,Как работает солнечная энергия?,Ячейки: свет в ток.,Солнечные ячейки превращают свет прямо в ток.
717,Объясни солнечная энергия одним предложением.,Ячейки: свет в ток.,Солнечные ячейки превращают свет прямо в ток.
718,Что такое солнечная энергия? (кратко),Ячейки: свет в ток.,Солнечные ячейки превращают свет прямо в ток.
719,Что такое компьютерный вирус?,"Вредная программа, распространяется.","Вирус - вредная программа, распространяется и вредит. Защита обновлениями и осторожностью."
720,Объясни компьютерный вирус одним предложением.,"Вредная программа, распространяется.","Вирус - вредная программа, распространяется и вредит. Защита обновлениями и осторожностью."
721,Что такое компьютерный вирус? (кратко),"Вредная программа, распространяется.","Вирус - вредная программа, распространяется и вредит. Защита обновлениями и осторожностью."
722,Почему пластик - проблема?,"Долгий мусор, микропластик.","Пластик почти не гниёт, мусорит природу и моря, становится микропластиком."
723,Объясни пластик одним предложением.,"Долгий мусор, микропластик.","Пластик почти не гниёт, мусорит природу и моря, становится микропластиком."
724,Что такое пластик? (кратко),"Долгий мусор, микропластик.","Пластик почти не гниёт, мусорит природу и моря, становится микропластиком."
725,Что такое землетрясение?,"Плиты движутся, энергия выходит.","Землетрясение бывает, когда плиты резко движутся и выпускают энергию."
726,Объясни землетрясение одним предложением.,"Плиты движутся, энергия выходит.","Землетрясение бывает, когда плиты резко движутся и выпускают энергию."
727,Что такое землетрясение? (кратко),"Плиты движутся, энергия выходит.","Землетрясение бывает, когда плиты резко движутся и выпускают энергию."
728,Что такое мёд?,Пчёлы из нектара.,Мёд делают пчёлы из цветочного нектара.
729,Объясни мёд одним предложением.,Пчёлы из нектара.,Мёд делают пчёлы из цветочного нектара.
730,Что такое мёд? (кратко),Пчёлы из нектара.,Мёд делают пчёлы из цветочного нектара.
731,Сколько будет 25 умножить на 4?,Считаем: 25*4=100.,25 умножить на 4 будет 100.
732,Сколько будет 12 процентов от 200?,"Процент: 200*0,12=24.",12 процентов от 200 будет 24.
733,Сколько будет 7 умножить на 8 плюс 10?,Порядок: 7*8=56 +10=66.,Будет 66.
734,Поезд уходит в 14:30 и едет 2 часа 15 минут. Когда прибудет?,Сложить: 14:30 + 2:15 = 16:45.,Прибудет в 16:45.
